epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8443,0.86169,3.13408,1.16944,0.00365,1,0.43578,0.34606,0.89266,3.07879,1.32529,0.00013336,0.00013336,0.00013336
2,36.3447,0.78085,2.34493,1.0959,0.0038,1,0.48012,0.39335,0.74301,2.95796,1.15397,0.000280584,0.000280584,0.000280584
3,51.7482,0.74031,1.44565,0.99787,0.85371,0.1875,0.56316,0.44635,0.73926,2.7354,1.12432,0.000424838,0.000424838,0.000424838
4,68.538,0.67417,1.31337,1.01967,0.35417,0.60416,0.50997,0.4039,0.82988,2.25295,1.15276,0.000566122,0.000566122,0.000566122
5,84.4406,0.68654,1.23432,0.9761,0.75242,0.57819,0.64081,0.50748,0.83136,2.39282,1.27385,0.000704434,0.000704434,0.000704434
6,100.853,0.76264,1.17342,1.01444,0.9001,0.25,0.3873,0.30827,1.12297,2.93117,1.49892,0.000839776,0.000839776,0.000839776
7,117.086,0.67303,1.15438,0.99189,0.98831,0.3125,0.4463,0.34412,1.21724,2.77718,1.774,0.000972148,0.000972148,0.000972148
8,133.442,0.80211,1.14349,1.06209,0.39357,0.4375,0.21855,0.14345,1.40482,10.1205,2.26193,0.00110155,0.00110155,0.00110155
9,149.372,0.83832,1.18492,1.08334,0.30905,0.61254,0.33203,0.21384,1.40255,5.31184,2.20618,0.00122798,0.00122798,0.00122798
10,165.768,0.82835,1.27085,1.08831,0.53484,0.5625,0.48209,0.32883,1.20835,3.25827,1.78747,0.00135144,0.00135144,0.00135144
11,182.863,0.726,1.13971,1.01549,0.55826,0.625,0.51293,0.36679,1.14154,2.75299,1.41566,0.00147193,0.00147193,0.00147193
12,199.033,0.7398,1.13064,1.05986,0.73778,0.59375,0.73039,0.51956,1.0368,2.23632,1.34885,0.00148546,0.00148546,0.00148546
13,214.19,0.74111,1.12672,1.04254,0.5174,0.6875,0.52048,0.36535,1.28354,2.95061,1.6727,0.00146896,0.00146896,0.00146896
14,229.273,0.74889,1.07052,1.03693,0.61755,0.66602,0.59528,0.40121,1.77651,5.44807,2.71474,0.00145246,0.00145246,0.00145246
15,245.205,0.70181,0.98563,1.00979,0.68204,0.72004,0.65154,0.49596,1.15868,3.05656,1.53384,0.00143595,0.00143595,0.00143595
16,260.99,0.72363,1.02254,0.99519,0.50631,0.61602,0.50205,0.39029,1.10051,2.8986,1.41497,0.00141945,0.00141945,0.00141945
17,276.936,0.68198,0.96328,0.99111,0.5213,0.5,0.44982,0.35621,1.16527,3.61109,1.50503,0.00140295,0.00140295,0.00140295
18,293.46,0.69182,0.96507,0.99976,0.45908,0.53119,0.45628,0.35382,1.44113,3.50787,1.77137,0.00138644,0.00138644,0.00138644
19,309.535,0.72934,1.02132,1.00742,0.64619,0.77386,0.63388,0.46993,1.05982,3.8171,1.51818,0.00136994,0.00136994,0.00136994
20,325.599,0.74529,1.05783,1.05559,0.54548,0.72358,0.65724,0.51262,0.96297,5.78167,1.4447,0.00135344,0.00135344,0.00135344
21,341.924,0.68388,1.06205,1.02686,0.55267,0.8125,0.73426,0.54429,1.19619,5.51152,1.8804,0.00133693,0.00133693,0.00133693
22,357.58,0.67684,1.02121,0.99014,0.69065,0.78125,0.7786,0.61865,1.31221,4.60554,2.20967,0.00132043,0.00132043,0.00132043
23,374.29,0.68312,0.94156,1.03201,0.70087,0.75415,0.7158,0.55121,1.36861,2.94276,2.22444,0.00130393,0.00130393,0.00130393
24,390.576,0.73125,1.01088,1.03715,0.71963,0.71875,0.67341,0.49783,1.23639,2.471,1.7457,0.00128742,0.00128742,0.00128742
25,406.222,0.7008,0.97459,1.03519,0.67276,0.59375,0.59496,0.47999,1.19104,2.68687,1.55155,0.00127092,0.00127092,0.00127092
26,424.402,0.67043,1.01393,1.03664,0.59277,0.5625,0.52634,0.41857,1.06693,2.53737,1.37283,0.00125442,0.00125442,0.00125442
27,441.256,0.66105,0.93665,1.00712,0.79078,0.3125,0.55211,0.43355,1.05847,3.05316,1.34323,0.00123791,0.00123791,0.00123791
28,456.736,0.69582,0.91847,1.00741,0.61096,0.59375,0.67256,0.54369,0.99718,2.38275,1.30343,0.00122141,0.00122141,0.00122141
29,472.969,0.67504,0.90017,0.98504,0.51471,0.88464,0.73286,0.57461,1.06572,1.84809,1.32655,0.00120491,0.00120491,0.00120491
30,488.719,0.63721,0.89205,0.99223,0.61025,0.79056,0.75724,0.56295,1.05059,1.91596,1.40421,0.0011884,0.0011884,0.0011884
31,505.466,0.62117,0.82563,1.0016,0.67246,0.78125,0.76529,0.60904,0.9986,1.7874,1.36922,0.0011719,0.0011719,0.0011719
32,521.366,0.66116,0.8931,1.01891,0.68293,0.80248,0.7675,0.6243,1.05487,1.85186,1.45423,0.0011554,0.0011554,0.0011554
33,536.758,0.60479,0.83171,0.989,0.57108,0.74105,0.74904,0.60477,1.05905,1.9706,1.45271,0.00113889,0.00113889,0.00113889
34,552.827,0.59161,0.82711,0.94828,0.4751,0.78125,0.73571,0.63385,0.93065,2.12435,1.3622,0.00112239,0.00112239,0.00112239
35,569.256,0.58826,0.79951,0.96909,0.61338,0.74685,0.80815,0.6707,0.83177,1.82056,1.2524,0.00110589,0.00110589,0.00110589
